"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;
"1774026849569681743,""Sat Mar 30 22:54:51 +0000 2024"",""12"",""@XTofaXTofa @beautydyah pernh ungkap akn ad salah 1 penegak Hukum yg akn jdi saksi d Gugatan Mk terkait kecurangan pilpres yg langsung d respon oleh petinggi penegak Hukum dengan mengintruksikan bawahan nya untk tdak ikut campur dlm sengketa pilpres Bntuk intimidasi yg halus"",""1774208699713867903"","""",""XTofaXTofa"",""in"",""South Africa"",""0"",""0"",""1"",""https://twitter.com/UwohMe/status/1774208699713867903"",""1607573507344588800"",""UwohMe""";;;;
"1774202668959060383,""Sat Mar 30 22:30:54 +0000 2024"",""60"",""10 Saksi Anies-Muhaimin di Sengketa Pilpres Mundur karena Ada Intimidasi https://t.co/BWpeuUkmUn"",""1774202668959060383"","""","""",""in"","""",""1"",""4"",""43"",""https://twitter.com/OposisiCerdas/status/1774202668959060383"",""887743587579944960"",""OposisiCerdas""";;;;
"1774146318312878424,""Sat Mar 30 22:14:54 +0000 2024"",""0"",""@Al_Kauther01 @DanteLokal Sang paman tidak diikutkan SBG hakim pengadilan sengketa pilpres. Untuk apa? Jelas agar SEOLAH peradilan ini fair dan bebas Cawe Cawe. Mosok gak paham?"",""1774198644939673839"","""",""Al_Kauther01"",""in"","""",""0"",""0"",""0"",""https://twitter.com/PrakarsaWin/status/1774198644939673839"",""1604285499493212162"",""PrakarsaWin""";;;;
"1773971954686623760,""Sat Mar 30 21:56:41 +0000 2024"",""0"",""@tempodotco 10 saksi @aniesbaswedan - @cakimiNOW di Sengketa Pilpres mundur karena ada intimidasi... --- Intimidasi atau diberi guyuran uang?"",""1774194060506612054"","""",""tempodotco"",""in"",""Bogor & Pontianak 🇲🇨"",""0"",""0"",""0"",""https://twitter.com/IhsanDaemon1/status/1774194060506612054"",""1603529590864941056"",""IhsanDaemon1""";;;;
"1774053581320307067,""Sat Mar 30 21:41:15 +0000 2024"",""0"",""@NaufalSyftr @RandomWorldWar Di masyarakat kita sudah sering di suguhi pengalihan isu klo sedang ada isu nasional yg mau di tutupi. Jadi klo ada bencana seperti ini pasti langsung ke arah sana pikiran nya. Isu nasional apa sih yg lagi hype? Sengketa pilpres atau korupsi 271T "",""1774190178191683844"","""",""NaufalSyftr"",""in"","""",""0"",""0"",""0"",""https://twitter.com/AceGlory/status/1774190178191683844"",""401299190"",""AceGlory""";;;;
"1773925946401403294,""Sat Mar 30 21:27:07 +0000 2024"",""0"",""@DS_yantie Apa Ini cuma pancingan supaya dapat job pwmbela sengketa pilpres??"",""1774186620251681136"","""",""DS_yantie"",""in"","""",""0"",""0"",""0"",""https://twitter.com/klarick26/status/1774186620251681136"",""1148556522462388224"",""klarick26""";;;;
"1774180648124862843,""Sat Mar 30 21:03:41 +0000 2024"",""1"",""Sekalipun Anwar Usman tdk ikut sidang sengketa Pilpres? Jangan harap MK utk DISKWALIFIKASI 02 #BawasluBisaPerintahKPUutkPilpresUlang #JanganHarapMKdiskwalifikasi02 @officialMKR @bawaslu_RI INGIN INDONESIA SEHAT? LANJUT PARLEMEN JALANAN PENGADILAN RAKYAT. https://t.co/d0VJFhu1hG"",""1774180721395138738"","""",""ForRezim"",""in"",""Indonesia bkn Negara Komunis "",""0"",""1"",""0"",""https://twitter.com/ForRezim/status/1774180721395138738"",""1482600556669460485"",""ForRezim""";;;;
"1774002648213344697,""Sat Mar 30 20:43:24 +0000 2024"",""0"",""@The_RedsIndo Nunggu kelar sengketa pilpres baru kebuka. Kebiasaan parsoc emang gitu jadi tunggu aja"",""1774175619406070005"","""",""The_RedsIndo"",""in"","""",""0"",""0"",""0"",""https://twitter.com/mordeeecai/status/1774175619406070005"",""1697173124817772544"",""mordeeecai""";;;;
"1774175469317087438,""Sat Mar 30 20:42:49 +0000 2024"",""3"",""Walaupun Anwar Usman tdk ikut sidang sengketa Pilpres? Jangan harap MK utk DISKWALIFIKASI 02. #BawasluBisaPerintahKPUutkPilpresUlang #JanganHarapMKdiskwalifikasi02 @officialMKR @bawaslu_RI INGIN INDONESIA SEHAT? LANJUT PARLEMEN JALANAN PENGADILAN RAKYAT. https://t.co/d0VJFhu1hG https://t.co/4gxVaHPkVW"",""1774175469317087438"",""https://pbs.twimg.com/ext_tw_video_thumb/1774175309371510784/pu/img/e6tuhVia0VpE4zEX.jpg"","""",""in"",""Indonesia bkn Negara Komunis "",""0"",""0"",""1"",""https://twitter.com/ForRezim/status/1774175469317087438"",""1482600556669460485"",""ForRezim""";;;;
"1773889441448550554,""Sat Mar 30 20:40:40 +0000 2024"",""0"",""@CNNIndonesia sidang sengketa pilpres bukan nya nunjukin bukti2 kecurangan dll malah ngurus yg lain. lawak amat nis anus"",""1774174930487390585"","""",""CNNIndonesia"",""in"",""Milanello"",""0"",""0"",""0"",""https://twitter.com/AdheOktama/status/1774174930487390585"",""103473118"",""AdheOktama""";;;;
